PeakID (cmd=annotatePeaks.pl hc_IDR_summit.bed hc.fna -gid -gtf hc.gtf -cpu 30)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
20554	II	48403622	48403622	+	0	NA	Intergenic	Intergenic	17502	V3C99_013723	V3C99_013723	gnl|V3C99|Hcon5G00000015881						protein_coding
9334	IV	23252217	23252217	+	0	NA	TTS (V3C99_008158)	mRNA-TTS (V3C99_008158)	2935	V3C99_008158	V3C99_008158	gnl|V3C99|Hcon5G00000003784						protein_coding
9082	IV	26413771	26413771	+	0	NA	promoter-TSS (V3C99_008311)	mRNA-promoter-TSS (V3C99_008311)	-545	V3C99_008311	V3C99_008311	gnl|V3C99|Hcon5G00000003937						protein_coding
19782	I	15483755	15483755	+	0	NA	intron (V3C99_004293, intron 8 of 25)	mRNA-intron (V3C99_004293, intron 8 of 25)	5811	V3C99_004293	V3C99_004293	gnl|V3C99|Hcon5G00000007250						protein_coding
11268	II	22281155	22281155	+	0	NA	exon (V3C99_011953, exon 14 of 42)	mRNA-exon (V3C99_011953, exon 14 of 42)	32074	V3C99_011953	V3C99_011953	gnl|V3C99|Hcon5G00000014111						protein_coding
9650	IV	24699488	24699488	+	0	NA	exon (V3C99_008226, exon 2 of 2)	mRNA-exon (V3C99_008226, exon 2 of 2)	545	V3C99_008226	V3C99_008226	gnl|V3C99|Hcon5G00000003852						protein_coding
17090	II	18093950	18093950	+	0	NA	intron (V3C99_011644, intron 9 of 23)	mRNA-intron (V3C99_011644, intron 8 of 13)	7806	V3C99_011644	V3C99_011644	gnl|V3C99|Hcon5G00000013802						protein_coding
1024	I	499527	499527	+	0	NA	promoter-TSS (V3C99_003147)	mRNA-promoter-TSS (V3C99_003147)	-50	V3C99_003147	V3C99_003147	gnl|V3C99|Hcon5G00000006104						protein_coding
18125	II	3310317	3310317	+	0	NA	promoter-TSS (V3C99_010625)	mRNA-promoter-TSS (V3C99_010625)	-301	V3C99_010625	V3C99_010625	gnl|V3C99|Hcon5G00000012783						protein_coding
6393	I	16646953	16646953	+	0	NA	Intergenic	Intergenic	-4859	V3C99_004381	V3C99_004381	gnl|V3C99|Hcon5G00000007338						protein_coding
8278	I	40130297	40130297	+	0	NA	intron (V3C99_005928, intron 3 of 12)	mRNA-intron (V3C99_005928, intron 3 of 12)	-1208	V3C99_005928	V3C99_005928	gnl|V3C99|Hcon5G00000008885						protein_coding
1161	III	12871547	12871547	+	0	NA	intron (V3C99_000819, intron 2 of 17)	mRNA-intron (V3C99_000819, intron 2 of 17)	-20525	V3C99_000820	V3C99_000820	gnl|V3C99|Hcon5G00000010309						protein_coding
8684	II	36752030	36752030	+	0	NA	intron (V3C99_012759, intron 1 of 18)	mRNA-intron (V3C99_012759, intron 1 of 18)	7419	V3C99_012759	V3C99_012759	gnl|V3C99|Hcon5G00000014917						protein_coding
2950	III	25605578	25605578	+	0	NA	intron (V3C99_001632, intron 9 of 18)	mRNA-intron (V3C99_001632, intron 9 of 18)	4239	V3C99_001632	V3C99_001632	gnl|V3C99|Hcon5G00000011121						protein_coding
18293	III	8308658	8308658	+	0	NA	TTS (V3C99_000537)	mRNA-TTS (V3C99_000537)	-2974	V3C99_000536	V3C99_000536	gnl|V3C99|Hcon5G00000010025						protein_coding
8155	X	32976574	32976574	+	0	NA	promoter-TSS (V3C99_019147)	mRNA-promoter-TSS (V3C99_019147)	-111	V3C99_019147	V3C99_019147	gnl|V3C99|Hcon5G00000002071						protein_coding
2091	III	2468095	2468095	+	0	NA	intron (V3C99_000145, intron 2 of 4)	mRNA-intron (V3C99_000145, intron 2 of 4)	-14508	V3C99_000147	V3C99_000147	gnl|V3C99|Hcon5G00000009636						protein_coding
5474	V	28037421	28037421	+	0	NA	intron (V3C99_015537, intron 2 of 14)	mRNA-intron (V3C99_015537, intron 2 of 14)	-3623	V3C99_015537	V3C99_015537	gnl|V3C99|Hcon5G00000017695						protein_coding
17377	X	18964996	18964996	+	0	NA	Intergenic	Intergenic	28861	V3C99_018301	V3C99_018301	gnl|V3C99|Hcon5G00000001225						protein_coding
2830	IV	3270157	3270157	+	0	NA	Intergenic	Intergenic	-4325	V3C99_006797	V3C99_006797	gnl|V3C99|Hcon5G00000002423						protein_coding
18389	IV	21703438	21703438	+	0	NA	Intergenic	Intergenic	3308	V3C99_008088	V3C99_008088	gnl|V3C99|Hcon5G00000003714						protein_coding
20688	III	37486189	37486189	+	0	NA	Intergenic	Intergenic	10273	V3C99_002456	V3C99_002456	gnl|V3C99|Hcon5G00000011945						protein_coding
13237	II	43004574	43004574	+	0	NA	Intergenic	Intergenic	-3869	V3C99_013324	V3C99_013324	gnl|V3C99|Hcon5G00000015482						protein_coding
19589	I	37694210	37694210	+	0	NA	exon (V3C99_005746, exon 35 of 53)	mRNA-exon (V3C99_005746, exon 35 of 53)	-6636	V3C99_005747	V3C99_005747	gnl|V3C99|Hcon5G00000008704						protein_coding
2211	III	33474484	33474484	+	0	NA	intron (V3C99_002153, intron 1 of 5)	mRNA-intron (V3C99_002153, intron 1 of 5)	359	V3C99_002153	V3C99_002153	gnl|V3C99|Hcon5G00000011642						protein_coding
214	I	16391683	16391683	+	0	NA	promoter-TSS (V3C99_004359)	mRNA-promoter-TSS (V3C99_004359)	-3	V3C99_004359	V3C99_004359	gnl|V3C99|Hcon5G00000007316						protein_coding
5311	III	17215325	17215325	+	0	NA	promoter-TSS (V3C99_001078)	mRNA-promoter-TSS (V3C99_001078)	-592	V3C99_001078	V3C99_001078	gnl|V3C99|Hcon5G00000010567						protein_coding
2613	V	40084108	40084108	+	0	NA	intron (V3C99_016395, intron 1 of 2)	mRNA-intron (V3C99_016395, intron 1 of 2)	-7274	V3C99_016395	V3C99_016395	gnl|V3C99|Hcon5G00000018553						protein_coding
4187	V	184342	184342	+	0	NA	Intergenic	Intergenic	-8494	V3C99_013735	V3C99_013735	gnl|V3C99|Hcon5G00000015893						protein_coding
11988	IV	15551003	15551003	+	0	NA	intron (V3C99_007723, intron 1 of 9)	mRNA-intron (V3C99_007723, intron 1 of 9)	-5498	V3C99_007723	V3C99_007723	gnl|V3C99|Hcon5G00000003349						protein_coding
5149	V	29554792	29554792	+	0	NA	exon (V3C99_015636, exon 5 of 5)	mRNA-exon (V3C99_015636, exon 5 of 5)	4564	V3C99_015636	V3C99_015636	gnl|V3C99|Hcon5G00000017794						protein_coding
1846	II	39882493	39882493	+	0	NA	promoter-TSS (V3C99_013030)	mRNA-promoter-TSS (V3C99_013030)	-703	V3C99_013030	V3C99_013030	gnl|V3C99|Hcon5G00000015188						protein_coding
21787	I	41313318	41313318	+	0	NA	promoter-TSS (V3C99_006028)	mRNA-promoter-TSS (V3C99_006028)	99	V3C99_006028	V3C99_006028	gnl|V3C99|Hcon5G00000008985						protein_coding
687	II	44461891	44461891	+	0	NA	intron (V3C99_013416, intron 20 of 52)	mRNA-intron (V3C99_013416, intron 20 of 52)	4396	V3C99_013417	V3C99_013417	gnl|V3C99|Hcon5G00000015575						protein_coding
7589	II	9044834	9044834	+	0	NA	exon (V3C99_011057, exon 3 of 5)	mRNA-exon (V3C99_011057, exon 3 of 5)	779	V3C99_011057	V3C99_011057	gnl|V3C99|Hcon5G00000013215						protein_coding
4840	I	32131609	32131609	+	0	NA	intron (V3C99_005371, intron 13 of 18)	mRNA-intron (V3C99_005371, intron 13 of 18)	15845	V3C99_005371	V3C99_005371	gnl|V3C99|Hcon5G00000008328						protein_coding
18741	V	24695640	24695640	+	0	NA	TTS (V3C99_015334)	mRNA-TTS (V3C99_015334)	5986	V3C99_015333	V3C99_015333	gnl|V3C99|Hcon5G00000017491						protein_coding
11429	I	42013072	42013072	+	0	NA	exon (V3C99_006078, exon 13 of 19)	mRNA-exon (V3C99_006078, exon 13 of 19)	10751	V3C99_006078	V3C99_006078	gnl|V3C99|Hcon5G00000009035						protein_coding
14864	II	45872439	45872439	+	0	NA	Intergenic	Intergenic	-4703	V3C99_013539	V3C99_013539	gnl|V3C99|Hcon5G00000015697						protein_coding
4397	V	45026979	45026979	+	0	NA	Intergenic	Intergenic	-3479	V3C99_016736	V3C99_016736	gnl|V3C99|Hcon5G00000018894						protein_coding
3686	II	25648806	25648806	+	0	NA	Intergenic	Intergenic	-3839	V3C99_012113	V3C99_012113	gnl|V3C99|Hcon5G00000014271						protein_coding
2522	III	26117689	26117689	+	0	NA	exon (V3C99_001661, exon 1 of 1)	mRNA-exon (V3C99_001661, exon 1 of 1)	217	V3C99_001661	V3C99_001661	gnl|V3C99|Hcon5G00000011150						protein_coding
22557	III	25879963	25879963	+	0	NA	intron (V3C99_001647, intron 11 of 23)	mRNA-intron (V3C99_001647, intron 11 of 23)	12743	V3C99_001647	V3C99_001647	gnl|V3C99|Hcon5G00000011136						protein_coding
14073	II	44581962	44581962	+	0	NA	Intergenic	Intergenic	-2126	V3C99_013424	V3C99_013424	gnl|V3C99|Hcon5G00000015582						protein_coding
9913	IV	8057200	8057200	+	0	NA	Intergenic	Intergenic	-14714	V3C99_007170	V3C99_007170	gnl|V3C99|Hcon5G00000002796						protein_coding
7408	I	5428206	5428206	+	0	NA	intron (V3C99_003570, intron 16 of 39)	mRNA-intron (V3C99_003570, intron 16 of 40)	-36932	V3C99_003571	V3C99_003571	gnl|V3C99|Hcon5G00000006528						protein_coding
22883	II	26970874	26970874	+	0	NA	intron (V3C99_012183, intron 3 of 8)	mRNA-intron (V3C99_012183, intron 3 of 8)	7293	V3C99_012183	V3C99_012183	gnl|V3C99|Hcon5G00000014341						protein_coding
13888	III	38380183	38380183	+	0	NA	intron (V3C99_002537, intron 3 of 21)	mRNA-intron (V3C99_002537, intron 3 of 21)	3217	V3C99_002538	V3C99_002538	gnl|V3C99|Hcon5G00000012027						protein_coding
4189	I	4975177	4975177	+	0	NA	intron (V3C99_003539, intron 2 of 12)	mRNA-intron (V3C99_003539, intron 2 of 13)	2973	V3C99_003539	V3C99_003539	gnl|V3C99|Hcon5G00000006496						protein_coding
1511	I	13702353	13702353	+	0	NA	promoter-TSS (V3C99_004165)	mRNA-promoter-TSS (V3C99_004165)	-340	V3C99_004165	V3C99_004165	gnl|V3C99|Hcon5G00000007122						protein_coding
3305	III	44179047	44179047	+	0	NA	Intergenic	Intergenic	-11525	V3C99_002986	V3C99_002986	gnl|V3C99|Hcon5G00000012475						protein_coding
18302	V	5482230	5482230	+	0	NA	promoter-TSS (V3C99_014150)	mRNA-promoter-TSS (V3C99_014150)	-468	V3C99_014150	V3C99_014150	gnl|V3C99|Hcon5G00000016308						protein_coding
9678	IV	838258	838258	+	0	NA	intron (V3C99_006581, intron 12 of 12)	mRNA-intron (V3C99_006581, intron 12 of 12)	7620	V3C99_006581	V3C99_006581	gnl|V3C99|Hcon5G00000002207						protein_coding
19502	X	11039633	11039633	+	0	NA	intron (V3C99_017814, intron 7 of 7)	mRNA-intron (V3C99_017814, intron 7 of 7)	19865	V3C99_017813	V3C99_017813	gnl|V3C99|Hcon5G00000000737						protein_coding
5147	X	9159332	9159332	+	0	NA	Intergenic	Intergenic	-3558	V3C99_017697	V3C99_017697	gnl|V3C99|Hcon5G00000000621						protein_coding
10912	III	17741314	17741314	+	0	NA	Intergenic	Intergenic	43811	V3C99_001103	V3C99_001103	gnl|V3C99|Hcon5G00000010592						protein_coding
9284	V	9476306	9476306	+	0	NA	intron (V3C99_014458, intron 2 of 11)	mRNA-intron (V3C99_014458, intron 2 of 11)	7472	V3C99_014458	V3C99_014458	gnl|V3C99|Hcon5G00000016616						protein_coding
21612	IV	30415313	30415313	+	0	NA	Intergenic	Intergenic	19607	V3C99_008531	V3C99_008531	gnl|V3C99|Hcon5G00000004157						protein_coding
20242	I	43122128	43122128	+	0	NA	exon (V3C99_006180, exon 3 of 16)	mRNA-exon (V3C99_006180, exon 3 of 16)	-12548	V3C99_006180	V3C99_006180	gnl|V3C99|Hcon5G00000009137						protein_coding
706	I	41811817	41811817	+	0	NA	intron (V3C99_006070, intron 1 of 9)	mRNA-intron (V3C99_006070, intron 1 of 9)	-14749	V3C99_006070	V3C99_006070	gnl|V3C99|Hcon5G00000009027						protein_coding
6852	III	15105023	15105023	+	0	NA	Intergenic	Intergenic	-7555	V3C99_000961	V3C99_000961	gnl|V3C99|Hcon5G00000010450						protein_coding
4399	X	247136	247136	+	0	NA	Intergenic	Intergenic	14835	V3C99_017087	V3C99_017087	gnl|V3C99|Hcon5G00000000011						protein_coding
17005	I	10846158	10846158	+	0	NA	TTS (V3C99_003967)	mRNA-TTS (V3C99_003967)	-7279	V3C99_003966	V3C99_003966	gnl|V3C99|Hcon5G00000006923						protein_coding
6932	I	33962609	33962609	+	0	NA	intron (V3C99_005467, intron 1 of 8)	mRNA-intron (V3C99_005467, intron 3 of 10)	278	V3C99_005467	V3C99_005467	gnl|V3C99|Hcon5G00000008424						protein_coding
429	III	36497815	36497815	+	0	NA	exon (V3C99_002381, exon 2 of 10)	mRNA-exon (V3C99_002381, exon 2 of 10)	634	V3C99_002381	V3C99_002381	gnl|V3C99|Hcon5G00000011870						protein_coding
14093	X	877198	877198	+	0	NA	intron (V3C99_017116, intron 1 of 16)	mRNA-intron (V3C99_017116, intron 2 of 26)	-37360	V3C99_017116	V3C99_017116	gnl|V3C99|Hcon5G00000000040						protein_coding
7896	I	15219200	15219200	+	0	NA	Intergenic	Intergenic	17453	V3C99_004276	V3C99_004276	gnl|V3C99|Hcon5G00000007233						protein_coding
2978	X	13601935	13601935	+	0	NA	Intergenic	Intergenic	3661	V3C99_017977	V3C99_017977	gnl|V3C99|Hcon5G00000000901						protein_coding
18952	II	29602564	29602564	+	0	NA	exon (V3C99_012352, exon 4 of 10)	mRNA-exon (V3C99_012352, exon 4 of 10)	1280	V3C99_012352	V3C99_012352	gnl|V3C99|Hcon5G00000014510						protein_coding
15883	IV	36974914	36974914	+	0	NA	intron (V3C99_008961, intron 2 of 7)	mRNA-intron (V3C99_008961, intron 2 of 7)	1089	V3C99_008961	V3C99_008961	gnl|V3C99|Hcon5G00000004587						protein_coding
7587	I	22260088	22260088	+	0	NA	TTS (V3C99_004749)	mRNA-TTS (V3C99_004749)	1921	V3C99_004749	V3C99_004749	gnl|V3C99|Hcon5G00000007706						protein_coding
5880	III	13218098	13218098	+	0	NA	intron (V3C99_000835, intron 4 of 7)	mRNA-intron (V3C99_000835, intron 14 of 17)	3097	V3C99_000835	V3C99_000835	gnl|V3C99|Hcon5G00000010324						protein_coding
1222	I	5484218	5484218	+	0	NA	intron (V3C99_003573, intron 3 of 3)	mRNA-intron (V3C99_003573, intron 4 of 6)	3250	V3C99_003573	V3C99_003573	gnl|V3C99|Hcon5G00000006530						protein_coding
8250	III	14778091	14778091	+	0	NA	Intergenic	Intergenic	-3505	V3C99_000934	V3C99_000934	gnl|V3C99|Hcon5G00000010423						protein_coding
15557	IV	21366899	21366899	+	0	NA	promoter-TSS (V3C99_008065)	mRNA-promoter-TSS (V3C99_008065)	-681	V3C99_008065	V3C99_008065	gnl|V3C99|Hcon5G00000003691						protein_coding
13440	IV	30060211	30060211	+	0	NA	Intergenic	Intergenic	-18794	V3C99_008512	V3C99_008512	gnl|V3C99|Hcon5G00000004138						protein_coding
71	X	3039753	3039753	+	0	NA	promoter-TSS (V3C99_017267)	mRNA-promoter-TSS (V3C99_017267)	-192	V3C99_017267	V3C99_017267	gnl|V3C99|Hcon5G00000000191						protein_coding
18455	I	12512741	12512741	+	0	NA	TTS (V3C99_004088)	mRNA-TTS (V3C99_004088)	4567	V3C99_004087	V3C99_004087	gnl|V3C99|Hcon5G00000007044						protein_coding
19481	X	12067442	12067442	+	0	NA	TTS (V3C99_017872)	mRNA-TTS (V3C99_017872)	775	V3C99_017872	V3C99_017872	gnl|V3C99|Hcon5G00000000796						protein_coding
12182	III	18774976	18774976	+	0	NA	exon (V3C99_001163, exon 9 of 15)	mRNA-exon (V3C99_001163, exon 9 of 15)	6430	V3C99_001164	V3C99_001164	gnl|V3C99|Hcon5G00000010653						protein_coding
4443	III	12494183	12494183	+	0	NA	promoter-TSS (V3C99_000793)	mRNA-promoter-TSS (V3C99_000793)	-1507	V3C99_000793	V3C99_000793	gnl|V3C99|Hcon5G00000010282						protein_coding
16338	III	18759971	18759971	+	0	NA	intron (V3C99_001163, intron 2 of 15)	mRNA-intron (V3C99_001163, intron 2 of 14)	13585	V3C99_001163	V3C99_001163	gnl|V3C99|Hcon5G00000010652						protein_coding
20473	IV	41364314	41364314	+	0	NA	intron (V3C99_009289, intron 18 of 21)	mRNA-intron (V3C99_009289, intron 18 of 21)	-18220	V3C99_009290	V3C99_009290	gnl|V3C99|Hcon5G00000004916						protein_coding
7821	IV	29187853	29187853	+	0	NA	promoter-TSS (V3C99_008461)	mRNA-promoter-TSS (V3C99_008461)	-313	V3C99_008461	V3C99_008461	gnl|V3C99|Hcon5G00000004087						protein_coding
19687	I	21769673	21769673	+	0	NA	exon (V3C99_004718, exon 11 of 15)	mRNA-exon (V3C99_004718, exon 11 of 15)	4885	V3C99_004718	V3C99_004718	gnl|V3C99|Hcon5G00000007675						protein_coding
12318	IV	20685982	20685982	+	0	NA	intron (V3C99_008032, intron 14 of 17)	mRNA-intron (V3C99_008032, intron 14 of 22)	17304	V3C99_008032	V3C99_008032	gnl|V3C99|Hcon5G00000003658						protein_coding
5	II	3269554	3269554	+	0	NA	Intergenic	Intergenic	7883	V3C99_010624	V3C99_010624	gnl|V3C99|Hcon5G00000012782						protein_coding
3578	V	3543772	3543772	+	0	NA	Intergenic	Intergenic	12682	V3C99_013992	V3C99_013992	gnl|V3C99|Hcon5G00000016150						protein_coding
11521	III	18998721	18998721	+	0	NA	Intergenic	Intergenic	-35289	V3C99_001172	V3C99_001172	gnl|V3C99|Hcon5G00000010661						protein_coding
9899	X	3508475	3508475	+	0	NA	intron (V3C99_017306, intron 4 of 6)	mRNA-intron (V3C99_017306, intron 3 of 5)	-6470	V3C99_017305	V3C99_017305	gnl|V3C99|Hcon5G00000000229						protein_coding
13375	III	44986663	44986663	+	0	NA	Intergenic	Intergenic	-7582	V3C99_003040	V3C99_003040	gnl|V3C99|Hcon5G00000012529						protein_coding
21886	II	20628347	20628347	+	0	NA	intron (V3C99_011863, intron 6 of 6)	mRNA-intron (V3C99_011863, intron 6 of 6)	2334	V3C99_011863	V3C99_011863	gnl|V3C99|Hcon5G00000014021						protein_coding
22659	IV	49915352	49915352	+	0	NA	intron (V3C99_010031, intron 14 of 59)	mRNA-intron (V3C99_010031, intron 14 of 59)	9258	V3C99_010031	V3C99_010031	gnl|V3C99|Hcon5G00000005657						protein_coding
7025	I	26269686	26269686	+	0	NA	promoter-TSS (V3C99_004975)	mRNA-promoter-TSS (V3C99_004975)	-108	V3C99_004975	V3C99_004975	gnl|V3C99|Hcon5G00000007932						protein_coding
10262	II	22594038	22594038	+	0	NA	intron (V3C99_011969, intron 3 of 9)	mRNA-intron (V3C99_011969, intron 3 of 9)	2538	V3C99_011969	V3C99_011969	gnl|V3C99|Hcon5G00000014127						protein_coding
3797	IV	36945302	36945302	+	0	NA	promoter-TSS (V3C99_008959)	mRNA-promoter-TSS (V3C99_008959)	-272	V3C99_008959	V3C99_008959	gnl|V3C99|Hcon5G00000004585						protein_coding
8918	III	45680783	45680783	+	0	NA	intron (V3C99_003088, intron 4 of 7)	mRNA-intron (V3C99_003088, intron 4 of 7)	32041	V3C99_003088	V3C99_003088	gnl|V3C99|Hcon5G00000012577						protein_coding
10415	II	38465580	38465580	+	0	NA	exon (V3C99_012910, exon 2 of 2)	mRNA-exon (V3C99_012910, exon 2 of 2)	3995	V3C99_012910	V3C99_012910	gnl|V3C99|Hcon5G00000015068						protein_coding
6966	V	47977711	47977711	+	0	NA	promoter-TSS (V3C99_017000)	mRNA-promoter-TSS (V3C99_017000)	84	V3C99_017000	V3C99_017000	gnl|V3C99|Hcon5G00000019158						protein_coding
3922	III	36498515	36498515	+	0	NA	promoter-TSS (V3C99_002381)	mRNA-promoter-TSS (V3C99_002381)	-66	V3C99_002381	V3C99_002381	gnl|V3C99|Hcon5G00000011870						protein_coding
12109	IV	15840673	15840673	+	0	NA	Intergenic	Intergenic	-6315	V3C99_007737	V3C99_007737	gnl|V3C99|Hcon5G00000003363						protein_coding
2098	II	1284132	1284132	+	0	NA	intron (V3C99_010502, intron 1 of 6)	mRNA-intron (V3C99_010502, intron 2 of 7)	362	V3C99_010502	V3C99_010502	gnl|V3C99|Hcon5G00000012660						protein_coding
4705	I	5153672	5153672	+	0	NA	promoter-TSS (V3C99_003559)	mRNA-promoter-TSS (V3C99_003559)	48	V3C99_003559	V3C99_003559	gnl|V3C99|Hcon5G00000006516						protein_coding
2844	I	34191418	34191418	+	0	NA	intron (V3C99_005477, intron 1 of 9)	mRNA-intron (V3C99_005477, intron 1 of 9)	-7952	V3C99_005478	V3C99_005478	gnl|V3C99|Hcon5G00000008435						protein_coding
8673	I	13605884	13605884	+	0	NA	exon (V3C99_004160, exon 10 of 11)	mRNA-exon (V3C99_004160, exon 10 of 11)	6752	V3C99_004160	V3C99_004160	gnl|V3C99|Hcon5G00000007117						protein_coding
8271	IV	32433106	32433106	+	0	NA	promoter-TSS (V3C99_008662)	mRNA-promoter-TSS (V3C99_008662)	-8822	V3C99_008661	V3C99_008661	gnl|V3C99|Hcon5G00000004287						protein_coding
12800	III	40108272	40108272	+	0	NA	intron (V3C99_002664, intron 3 of 5)	mRNA-intron (V3C99_002664, intron 3 of 5)	2462	V3C99_002664	V3C99_002664	gnl|V3C99|Hcon5G00000012153						protein_coding
20493	III	44768552	44768552	+	0	NA	exon (V3C99_003026, exon 22 of 23)	mRNA-exon (V3C99_003026, exon 22 of 23)	-5128	V3C99_003027	V3C99_003027	gnl|V3C99|Hcon5G00000012516						protein_coding
16763	X	33442642	33442642	+	0	NA	Intergenic	Intergenic	9545	V3C99_019185	V3C99_019185	gnl|V3C99|Hcon5G00000002109						protein_coding
5483	III	14296566	14296566	+	0	NA	intron (V3C99_000904, intron 4 of 30)	mRNA-intron (V3C99_000904, intron 3 of 29)	11457	V3C99_000904	V3C99_000904	gnl|V3C99|Hcon5G00000010393						protein_coding
1168	III	21163070	21163070	+	0	NA	intron (V3C99_001324, intron 5 of 9)	mRNA-intron (V3C99_001324, intron 5 of 9)	2782	V3C99_001324	V3C99_001324	gnl|V3C99|Hcon5G00000010813						protein_coding
3799	I	22541753	22541753	+	0	NA	Intergenic	Intergenic	-5505	V3C99_004764	V3C99_004764	gnl|V3C99|Hcon5G00000007721						protein_coding
45	V	39683329	39683329	+	0	NA	promoter-TSS (V3C99_016369)	mRNA-promoter-TSS (V3C99_016369)	-155	V3C99_016369	V3C99_016369	gnl|V3C99|Hcon5G00000018527						protein_coding
17028	V	1639685	1639685	+	0	NA	intron (V3C99_013826, intron 2 of 9)	mRNA-intron (V3C99_013825, intron 35 of 38)	-7200	V3C99_013826	V3C99_013826	gnl|V3C99|Hcon5G00000015984						protein_coding
9340	III	41262936	41262936	+	0	NA	exon (V3C99_002765, exon 1 of 4)	mRNA-exon (V3C99_002765, exon 1 of 4)	-1524	V3C99_002765	V3C99_002765	gnl|V3C99|Hcon5G00000012254						protein_coding
14332	III	14852029	14852029	+	0	NA	Intergenic	Intergenic	-13340	V3C99_000938	V3C99_000938	gnl|V3C99|Hcon5G00000010427						protein_coding
19712	IV	18947782	18947782	+	0	NA	intron (V3C99_007925, intron 9 of 10)	mRNA-intron (V3C99_007925, intron 9 of 10)	4361	V3C99_007925	V3C99_007925	gnl|V3C99|Hcon5G00000003551						protein_coding
6174	I	21425598	21425598	+	0	NA	intron (V3C99_004695, intron 5 of 8)	mRNA-intron (V3C99_004695, intron 5 of 8)	11733	V3C99_004695	V3C99_004695	gnl|V3C99|Hcon5G00000007652						protein_coding
15659	I	37326772	37326772	+	0	NA	exon (V3C99_005709, exon 11 of 12)	mRNA-exon (V3C99_005709, exon 11 of 12)	4929	V3C99_005709	V3C99_005709	gnl|V3C99|Hcon5G00000008666						protein_coding
9586	II	21963142	21963142	+	0	NA	Intergenic	Intergenic	-5233	V3C99_011936	V3C99_011936	gnl|V3C99|Hcon5G00000014094						protein_coding
9897	X	3191031	3191031	+	0	NA	promoter-TSS (V3C99_017283)	mRNA-promoter-TSS (V3C99_017283)	84	V3C99_017283	V3C99_017283	gnl|V3C99|Hcon5G00000000207						protein_coding
13395	I	5710323	5710323	+	0	NA	Intergenic	Intergenic	-13945	V3C99_003591	V3C99_003591	gnl|V3C99|Hcon5G00000006548						protein_coding
17526	IV	2384537	2384537	+	0	NA	intron (V3C99_006715, intron 8 of 23)	mRNA-intron (V3C99_006715, intron 8 of 23)	1736	V3C99_006715	V3C99_006715	gnl|V3C99|Hcon5G00000002341						protein_coding
18831	IV	2160763	2160763	+	0	NA	intron (V3C99_006689, intron 1 of 12)	mRNA-intron (V3C99_006689, intron 1 of 12)	-1797	V3C99_006689	V3C99_006689	gnl|V3C99|Hcon5G00000002315						protein_coding
3550	IV	32712854	32712854	+	0	NA	promoter-TSS (V3C99_008676)	mRNA-promoter-TSS (V3C99_008676)	-66	V3C99_008676	V3C99_008676	gnl|V3C99|Hcon5G00000004302						protein_coding
6449	X	11839055	11839055	+	0	NA	Intergenic	Intergenic	-6945	V3C99_017863	V3C99_017863	gnl|V3C99|Hcon5G00000000787						protein_coding
2026	II	44600831	44600831	+	0	NA	promoter-TSS (V3C99_013426)	mRNA-promoter-TSS (V3C99_013426)	-2730	V3C99_013426	V3C99_013426	gnl|V3C99|Hcon5G00000015584						protein_coding
22813	II	30832040	30832040	+	0	NA	intron (V3C99_012419, intron 3 of 8)	mRNA-intron (V3C99_012419, intron 4 of 9)	35012	V3C99_012420	V3C99_012420	gnl|V3C99|Hcon5G00000014578						protein_coding
10359	II	32765770	32765770	+	0	NA	Intergenic	Intergenic	-6431	V3C99_012526	V3C99_012526	gnl|V3C99|Hcon5G00000014684						protein_coding
13818	III	14844501	14844501	+	0	NA	Intergenic	Intergenic	-5812	V3C99_000938	V3C99_000938	gnl|V3C99|Hcon5G00000010427						protein_coding
7401	V	10647839	10647839	+	0	NA	exon (V3C99_014572, exon 1 of 14)	mRNA-exon (V3C99_014572, exon 1 of 14)	-2264	V3C99_014572	V3C99_014572	gnl|V3C99|Hcon5G00000016730						protein_coding
21717	II	19090478	19090478	+	0	NA	Intergenic	Intergenic	-2929	V3C99_011730	V3C99_011730	gnl|V3C99|Hcon5G00000013888						protein_coding
4834	I	8592720	8592720	+	0	NA	exon (V3C99_003787, exon 1 of 1)	mRNA-exon (V3C99_003787, exon 1 of 1)	115	V3C99_003787	V3C99_003787	gnl|V3C99|Hcon5G00000006744						protein_coding
4954	V	43388957	43388957	+	0	NA	intron (V3C99_016610, intron 1 of 8)	mRNA-intron (V3C99_016610, intron 1 of 8)	-3770	V3C99_016610	V3C99_016610	gnl|V3C99|Hcon5G00000018768						protein_coding
17534	X	4908650	4908650	+	0	NA	intron (V3C99_017402, intron 3 of 9)	mRNA-intron (V3C99_017402, intron 3 of 9)	2711	V3C99_017402	V3C99_017402	gnl|V3C99|Hcon5G00000000326						protein_coding
5318	II	29949123	29949123	+	0	NA	intron (V3C99_012375, intron 3 of 19)	mRNA-intron (V3C99_012375, intron 3 of 19)	9127	V3C99_012375	V3C99_012375	gnl|V3C99|Hcon5G00000014533						protein_coding
21609	II	37413914	37413914	+	0	NA	intron (V3C99_012813, intron 1 of 6)	mRNA-intron (V3C99_012813, intron 1 of 6)	-4634	V3C99_012813	V3C99_012813	gnl|V3C99|Hcon5G00000014971						protein_coding
